country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,total_bebidas,acima_media
Nigeria,42,5,2,9.1,49,Nao
Niue,188,200,7,7.0,395,Sim
Norway,169,71,129,6.7,369,Sim
Oman,22,16,1,0.7,39,Nao
Pakistan,0,0,0,0.0,0,Nao
Palau,306,63,23,6.9,392,Sim
Panama,285,104,18,7.2,407,Sim
Papua New Guinea,44,39,1,1.5,84,Nao
Paraguay,213,117,74,7.3,404,Sim
Peru,163,160,21,6.1,344,Sim
Philippines,71,186,1,4.6,258,Sim
Poland,343,215,56,10.9,614,Sim
Portugal,194,67,339,11.0,600,Sim
Qatar,1,42,7,0.9,50,Nao
South Korea,140,16,9,9.8,165,Nao
Moldova,109,226,18,6.3,353,Sim
Romania,297,122,167,10.4,586,Sim
Russian Federation,247,326,73,11.5,646,Sim
Rwanda,43,2,0,6.8,45,Nao
St. Kitts & Nevis,194,205,32,7.7,431,Sim
St. Lucia,171,315,71,10.1,557,Sim
St. Vincent & the Grenadines,120,221,11,6.3,352,Sim
Samoa,105,18,24,2.6,147,Nao
San Marino,0,0,0,0.0,0,Nao
Sao Tome & Principe,56,38,140,4.2,234,Nao
Saudi Arabia,0,5,0,0.1,5,Nao
Senegal,9,1,7,0.3,17,Nao
Serbia,283,131,127,9.6,541,Sim
Seychelles,157,25,51,4.1,233,Nao
Sierra Leone,25,3,2,6.7,30,Nao
Singapore,60,12,11,1.5,83,Nao
Slovakia,196,293,116,11.4,605,Sim
Slovenia,270,51,276,10.6,597,Sim
Solomon Islands,56,11,1,1.2,68,Nao
Somalia,0,0,0,0.0,0,Nao
South Africa,225,76,81,8.2,382,Sim
Spain,284,157,112,10.0,553,Sim
Sri Lanka,16,104,0,2.2,120,Nao
Sudan,8,13,0,1.7,21,Nao
Suriname,128,178,7,5.6,313,Sim
Swaziland,90,2,2,4.7,94,Nao
Sweden,152,60,186,7.2,398,Sim
Switzerland,185,100,280,10.2,565,Sim
Syria,5,35,16,1.0,56,Nao
Tajikistan,2,15,0,0.3,17,Nao
Thailand,99,258,1,6.4,358,Sim
Macedonia,106,27,86,3.9,219,Nao
Timor-Leste,1,1,4,0.1,6,Nao
Togo,36,2,19,1.3,57,Nao
Tonga,36,21,5,1.1,62,Nao
Trinidad & Tobago,197,156,7,6.4,360,Sim
Tunisia,51,3,20,1.3,74,Nao
Turkey,51,22,7,1.4,80,Nao
Turkmenistan,19,71,32,2.2,122,Nao
Tuvalu,6,41,9,1.0,56,Nao
Uganda,45,9,0,8.3,54,Nao
Ukraine,206,237,45,8.9,488,Sim
United Arab Emirates,16,135,5,2.8,156,Nao
United Kingdom,219,126,195,10.4,540,Sim
Tanzania,36,6,1,5.7,43,Nao
USA,249,158,84,8.7,491,Sim
Uruguay,115,35,220,6.6,370,Sim
Uzbekistan,25,101,8,2.4,134,Nao
Vanuatu,21,18,11,0.9,50,Nao
Venezuela,333,100,3,7.7,436,Sim
Vietnam,111,2,1,2.0,114,Nao
Yemen,6,0,0,0.1,6,Nao
Zambia,32,19,4,2.5,55,Nao
Zimbabwe,64,18,4,4.7,86,Nao
